cost,emission,role
13532.980383565175,385850.8471712941,Pure cost
13535.54016963214,385184.42057129415,
13535.54016963214,385184.42057129415,
13535.54016963214,385184.42057129415,
13539.213689065018,385175.1252865882,
13539.213689065016,385175.1252865883,
13533.903453053133,385168.4352254119,
21844.75790538224,273532.9249018824,
21981.55100410879,273381.5509018824,
21843.756427407272,272732.27875545423,Intermediate 1
33592.04489663127,188105.8546720972,Intermediate 2
38664.77602722142,158332.1002362353,
38664.77602722142,158332.1002362353,
38664.77602722142,158332.1002362353,
38664.77602722142,158332.1002362353,
38664.77602722142,158332.1002362353,
38714.77602722143,158251.27904682353,
38815.83425738738,158152.68691870588,
39474.63201173491,157776.33631835296,
44123.97292186311,156893.1587223529,Pure emission
