time,nh3_1,h2_1,nh3_2,h2_2,nh3_3,h2_3,nh3_4,h2_4
1,1040.0,83.52941176470588,1000.0,76.47058823529412,900.0,58.823529411764724,900.0,58.823529411764724
2,1040.0000000000027,127.09882352941264,1040.0,127.0988235294117,900.0,87.67705882352979,899.9999999999994,58.82352941176461
3,1040.0000000000027,39.96000000000009,1040.0,39.960000000000065,900.0,29.969999999999658,899.9999999999989,58.823529411764525
4,1040.0000000000027,499.50000000000006,1040.0,83.52941176470588,900.0,58.823529411764724,899.9999999999989,58.823529411764525
5,1080.0000000000027,499.5000000000001,1040.0,164.80588235294135,940.0,117.72705882352957,799.9999999999977,123.52941176470517
6,1080.0000000000027,499.5000000000001,1080.0,49.9499999999999,940.0,39.95999999999995,799.9999999999972,-3.410605131648481e-13
7,1080.0000000000032,499.5000000000002,1080.0,49.9499999999999,940.0,39.95999999999995,799.9999999999966,-4.263256414560601e-13
8,1080.0000000000032,499.5000000000002,1080.0,90.58823529411765,940.0,65.88235294117649,799.9999999999966,41.17647058823471
9,1100.0,499.5000000000001,1080.0,143.3478991596754,980.0,72.94117647058826,750.0,32.35294117647061
10,1100.0,499.5000000000001,1100.0,299.69999999999993,980.0,166.5,750.0,32.35294117647061
11,1100.0,499.5000000000001,1100.0,299.69999999999993,980.0,166.5,750.0,499.49999999999943
12,1100.0,499.5000000000001,1100.0,299.69999999999993,980.0,166.5,750.0,276.97058823528766
13,1100.0,499.5000000000001,1100.0,299.69999999999993,1020.0,166.5,750.0,3.410605131648481e-13
14,1100.0,499.5000000000001,1100.0,299.69999999999993,1020.0,166.5,750.0,3.410605131648481e-13
15,1100.0,499.5000000000001,1100.0,299.69999999999993,1020.0,166.5,750.0,3.410605131648481e-13
16,1100.0,499.5000000000001,1100.0,299.69999999999993,1020.0,166.5,750.0,3.410605131648481e-13
17,1100.0,499.5000000000001,1100.0,299.69999999999993,1020.0,166.5,750.0,3.410605131648481e-13
