time,I_1,I_2,I_3,I_4
1,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
2,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
3,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
4,202897.47807017545,52897.478070175435,52897.478070175435,52897.478070175435
5,352897.47807017545,52897.478070175435,52897.478070175435,52897.478070175435
6,326077.30263157893,52897.478070175435,52897.478070175435,52897.478070175435
7,176077.30263157893,52897.478070175435,52897.478070175435,52897.478070175435
8,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
9,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
10,52897.478070175435,176077.30263157893,52897.478070175435,52897.478070175435
11,52897.478070175435,326077.30263157893,202897.47807017545,52897.478070175435
12,52897.478070175435,202897.47807017545,149257.1271929833,52897.478070175435
13,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
14,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
15,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
16,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
17,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
18,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
19,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
20,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
21,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
22,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
23,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
24,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
25,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
26,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
27,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
28,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
29,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
30,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
31,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
32,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
33,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
34,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
35,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
36,52897.478070175435,202897.47807017545,202897.47807017545,76987.39035087719
37,52897.478070175435,202897.47807017545,352897.47807017545,226987.3903508772
38,52897.478070175435,52897.478070175435,202897.47807017545,376987.3903508772
39,52897.478070175435,52897.478070175435,52897.478070175435,226987.3903508772
40,52897.478070175435,52897.478070175435,52897.478070175435,202897.47807017545
41,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
42,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
43,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
44,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
45,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
46,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
47,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
48,52897.478070175435,52897.478070175435,52897.478070175435,52897.478070175435
