Column1,Column2
"[[1, 2], [3, 4]]",0.963101534
"[[1, 2], [3, 4]]",0.963532195
"[[1, 2], [3, 4]]",0.963093924
"[[1, 2], [3, 4]]",0.961800093
"[[1, 2], [3, 4]]",0.962048421
"[[1, 2], [3, 4]]",0.961542843
"[[1, 2], [3, 4]]",0.960647462
"[[1, 2], [3, 4]]",0.960898737
"[[1, 2], [3, 4]]",0.961435045
"[[1, 2], [3, 4]]",0.962092778
"[[1, 2], [3, 4]]",0.963039806
"[[1, 2], [3, 4]]",0.961614672
"[[1, 2], [3, 4]]",0.957407947
"[[1, 2], [3, 4]]",0.947682423
"[[1], [2, 3, 4]]",0.939243303
"[[1], [2, 3, 4]]",0.93503095
"[[1], [2, 3, 4]]",0.934016908
"[[1], [2, 3, 4]]",0.931860172
"[[1], [2, 3, 4]]",0.926753491
"[[1], [2, 3, 4]]",0.924612883
"[[1], [2, 3, 4]]",0.924673172
"[[1], [2, 3, 4]]",0.92602213
"[[1], [2, 3, 4]]",0.927694297
"[[1], [2, 3, 4]]",0.928626417
"[[1], [2, 3, 4]]",0.930244186
"[[1], [2, 3, 4]]",0.931977369
"[[1], [2, 3, 4]]",0.933745795
"[[1], [2, 3, 4]]",0.936884422
"[[1], [2, 3, 4]]",0.938741273
"[[1], [2, 3, 4]]",0.940517657
"[[1], [2, 3, 4]]",0.942265283
"[[1], [2, 3, 4]]",0.943122658
"[[1], [2, 3, 4]]",0.940413981
"[[1], [2, 3, 4]]",0.940224495
"[[1], [2, 3, 4]]",0.94182163
"[[1], [2, 3, 4]]",0.942864089
"[[4], [1, 2, 3]]",0.943724058
"[[4], [1, 2, 3]]",0.943989824
"[[4], [1, 2, 3]]",0.944346524
"[[4], [1, 2, 3]]",0.944761766
"[[4], [1, 2, 3]]",0.945745754
"[[4], [1, 2, 3]]",0.944344386
"[[1], [2, 3, 4]]",0.942775748
"[[1], [2, 3, 4]]",0.941281192
"[[1], [2, 3, 4]]",0.941342311
"[[1], [2, 3, 4]]",0.942539871
"[[4], [1, 2, 3]]",0.943679307
"[[4], [1, 2, 3]]",0.944774195
"[[4], [1, 2, 3]]",0.945883887
"[[4], [1, 2, 3]]",0.947142219
"[[4], [1, 2, 3]]",0.949058654
"[[4], [1, 2, 3]]",0.951433787
"[[4], [1, 2, 3]]",0.952956984
"[[4], [1, 2, 3]]",0.955108081
"[[4], [1, 2, 3]]",0.957578433
"[[4], [1, 2, 3]]",0.959714034
"[[4], [1, 2, 3]]",0.961560393
"[[4], [1, 2, 3]]",0.963387371
"[[4], [1, 2, 3]]",0.964888055
"[[4], [1, 2, 3]]",0.964254077
"[[4], [1, 2, 3]]",0.963353502
"[[4], [1, 2, 3]]",0.96286629
"[[4], [1, 2, 3]]",0.962562086
"[[4], [1, 2, 3]]",0.961526724
"[[4], [1, 2, 3]]",0.960191032
"[[4], [1, 2, 3]]",0.959182326
"[[4], [1, 2, 3]]",0.959325548
"[[4], [1, 2, 3]]",0.958971377
"[[4], [1, 2, 3]]",0.957935896
"[[4], [1, 2, 3]]",0.95665168
"[[4], [1, 2, 3]]",0.955627692
"[[4], [1, 2, 3]]",0.955491177
"[[4], [1, 2, 3]]",0.955482347
"[[4], [1, 2, 3]]",0.954845512
"[[4], [1, 2, 3]]",0.953512464
"[[4], [1, 2, 3]]",0.952123796
"[[4], [1, 2, 3]]",0.950661686
"[[4], [1, 2, 3]]",0.949095474
"[[4], [1, 2, 3]]",0.947855842
"[[4], [1, 2, 3]]",0.947098107
"[[4], [1, 2, 3]]",0.950677994
"[[4], [1, 2, 3]]",0.952216317
"[[4], [1, 2, 3]]",0.951346066
"[[4], [1, 2, 3]]",0.951242379
"[[4], [1, 2, 3]]",0.95119447
"[[4], [1, 2, 3]]",0.951243294
"[[4], [1, 2, 3]]",0.951210573
"[[4], [1, 2, 3]]",0.951074435
"[[4], [1, 2, 3]]",0.950881845
"[[4], [1, 2, 3]]",0.954246415
"[[4], [1, 2, 3]]",0.955848758
"[[4], [1, 2, 3]]",0.95890889
"[[4], [1, 2, 3]]",0.961659361
"[[4], [1, 2, 3]]",0.963231648
"[[4], [1, 2, 3]]",0.964777576
"[[4], [1, 2, 3]]",0.965036891
"[[4], [1, 2, 3]]",0.965976728
"[[4], [1, 2, 3]]",0.967151671
"[[4], [1, 2, 3]]",0.967805741
"[[4], [1, 2, 3]]",0.968321255
"[[4], [1, 2, 3]]",0.968664603
"[[4], [1, 2, 3]]",0.969269281
"[[4], [1, 2, 3]]",0.969501212
"[[4], [1, 2, 3]]",0.970488698
"[[4], [1, 2, 3]]",0.971228481
"[[4], [1, 2, 3]]",0.971620814
"[[4], [1, 2, 3]]",0.970327131
"[[4], [1, 2, 3]]",0.964169785
"[[4], [1, 2, 3]]",0.956412666
"[[4], [1, 2, 3]]",0.951189692
"[[1], [2, 3, 4]]",0.949350825
"[[1], [2, 3, 4]]",0.949712592
"[[4], [1, 2, 3]]",0.950554697
"[[4], [1, 2, 3]]",0.951237712
"[[1], [2, 3, 4]]",0.946899413
"[[1], [2, 3, 4]]",0.946894689
"[[1], [2, 3, 4]]",0.948121635
"[[1], [2, 3, 4]]",0.949512514
"[[4], [1, 2, 3]]",0.950762682
"[[4], [1, 2, 3]]",0.951239706
"[[4], [1, 2, 3]]",0.951556517
"[[4], [1, 2, 3]]",0.952384587
"[[4], [1, 2, 3]]",0.953821962
"[[4], [1, 2, 3]]",0.955322939
"[[4], [1, 2, 3]]",0.956878431
"[[4], [1, 2, 3]]",0.958438922
"[[4], [1, 2, 3]]",0.959876654
"[[4], [1, 2, 3]]",0.961289136
"[[4], [1, 2, 3]]",0.961892921
