Column1,Column2,first 500 UK
"[[2], [1, 3, 4]]",0.819209207,0.819209207
"[[2], [1, 3, 4]]",0.819024587,0.819024587
"[[2], [1, 3, 4]]",0.820758855,0.820758855
"[[2], [1, 3, 4]]",0.820353909,0.820353909
"[[2], [1, 3, 4]]",0.819072141,0.819072141
"[[2], [1, 3, 4]]",0.818021557,0.818021557
"[[2], [1, 3, 4]]",0.818059521,0.818059521
"[[2], [1, 3, 4]]",0.81952549,0.81952549
"[[2], [1, 3, 4]]",0.820950534,0.820950534
"[[2], [1, 3, 4]]",0.823961337,0.823961337
"[[2], [1, 3, 4]]",0.826760743,0.826760743
"[[2], [1, 3, 4]]",0.828481367,0.828481367
"[[2], [1, 3, 4]]",0.829462618,0.829462618
"[[2], [1, 3, 4]]",0.830865853,0.830865853
"[[2], [1, 3, 4]]",0.832899471,0.832899471
"[[2], [1, 3, 4]]",0.835419128,0.835419128
"[[2], [1, 3, 4]]",0.838189738,0.838189738
"[[2], [1, 3, 4]]",0.840726204,0.840726204
"[[2], [1, 3, 4]]",0.845718753,0.845718753
"[[2], [1, 3, 4]]",0.855617196,0.855617196
"[[2], [1, 3, 4]]",0.860515631,0.860515631
"[[2], [1, 3, 4]]",0.863325358,0.863325358
"[[2], [1, 3, 4]]",0.866107747,0.866107747
"[[2], [1, 3, 4]]",0.866932051,0.866932051
"[[2], [1, 3, 4]]",0.867192295,0.867192295
"[[2], [1, 3, 4]]",0.865992261,0.865992261
"[[2], [1, 3, 4]]",0.86227967,0.86227967
"[[2], [1, 3, 4]]",0.860078753,0.860078753
"[[2], [1, 3, 4]]",0.859945903,0.859945903
"[[2], [1, 3, 4]]",0.860040322,0.860040322
"[[2], [1, 3, 4]]",0.859832456,0.859832456
"[[2], [1, 3, 4]]",0.859438997,0.859438997
"[[2], [1, 3, 4]]",0.859424051,0.859424051
"[[2], [1, 3, 4]]",0.86044082,0.86044082
"[[2], [1, 3, 4]]",0.861913253,0.861913253
"[[2], [1, 3, 4]]",0.86323527,0.86323527
"[[2], [1, 3, 4]]",0.864422062,0.864422062
"[[2], [1, 3, 4]]",0.865127249,0.865127249
"[[2], [1, 3, 4]]",0.865673353,0.865673353
"[[2], [1, 3, 4]]",0.8660653,0.8660653
"[[2], [1, 3, 4]]",0.866965966,0.866965966
"[[2], [1, 3, 4]]",0.868038449,0.868038449
"[[2], [1, 3, 4]]",0.868915171,0.868915171
"[[2], [1, 3, 4]]",0.870689791,0.870689791
"[[2], [1, 3, 4]]",0.871888196,0.871888196
"[[2], [1, 3, 4]]",0.87273892,0.87273892
"[[2], [1, 3, 4]]",0.873263271,0.873263271
"[[2], [1, 3, 4]]",0.873727628,0.873727628
"[[2], [1, 3, 4]]",0.87415219,0.87415219
"[[2], [1, 3, 4]]",0.873907553,0.873907553
"[[2], [1, 3, 4]]",0.874049105,0.874049105
"[[2], [1, 3, 4]]",0.874087394,0.874087394
"[[2], [1, 3, 4]]",0.874499162,0.874499162
"[[2], [1, 3, 4]]",0.875090517,0.875090517
"[[2], [1, 3, 4]]",0.875412034,0.875412034
"[[2], [1, 3, 4]]",0.874432055,0.874432055
"[[2], [1, 3, 4]]",0.872946689,0.872946689
"[[2], [1, 3, 4]]",0.873722333,0.873722333
"[[2], [1, 3, 4]]",0.874626503,0.874626503
"[[2], [1, 3, 4]]",0.875185105,0.875185105
"[[2], [1, 3, 4]]",0.875650243,0.875650243
"[[2], [1, 3, 4]]",0.876173547,0.876173547
"[[2], [1, 3, 4]]",0.876811784,0.876811784
"[[2], [1, 3, 4]]",0.877650105,0.877650105
"[[2], [1, 3, 4]]",0.87898494,0.87898494
"[[2], [1, 3, 4]]",0.880622152,0.880622152
"[[2], [1, 3, 4]]",0.882345013,0.882345013
"[[2], [1, 3, 4]]",0.883347926,0.883347926
"[[2], [1, 3, 4]]",0.884728422,0.884728422
"[[2], [1, 3, 4]]",0.886329369,0.886329369
"[[2], [1, 3, 4]]",0.888406971,0.888406971
"[[2], [1, 3, 4]]",0.890324046,0.890324046
"[[2], [1, 3, 4]]",0.892206404,0.892206404
"[[2], [1, 3, 4]]",0.894326445,0.894326445
"[[2], [1, 3, 4]]",0.8970289,0.8970289
"[[2], [1, 3, 4]]",0.899181023,0.899181023
"[[2], [1, 3, 4]]",0.900755839,0.900755839
"[[2], [1, 3, 4]]",0.90198656,0.90198656
"[[2], [1, 3, 4]]",0.902964802,0.902964802
"[[2], [1, 3, 4]]",0.904137864,0.904137864
"[[2], [1, 3, 4]]",0.905239203,0.905239203
"[[2], [1, 3, 4]]",0.905994876,0.905994876
"[[2], [1, 3, 4]]",0.906361562,0.906361562
"[[2], [1, 3, 4]]",0.906558363,0.906558363
"[[2], [1, 3, 4]]",0.907298819,0.907298819
"[[2], [1, 3, 4]]",0.90779367,0.90779367
"[[2], [1, 3, 4]]",0.908288313,0.908288313
"[[2], [1, 3, 4]]",0.908763015,0.908763015
"[[2], [1, 3, 4]]",0.908992196,0.908992196
"[[2], [1, 3, 4]]",0.909092029,0.909092029
"[[2], [1, 3, 4]]",0.908952308,0.908952308
"[[2], [1, 3, 4]]",0.908760122,0.908760122
"[[2], [1, 3, 4]]",0.908509765,0.908509765
"[[2], [1, 3, 4]]",0.908235684,0.908235684
"[[2], [1, 3, 4]]",0.907731596,0.907731596
"[[2], [1, 3, 4]]",0.907141675,0.907141675
"[[2], [1, 3, 4]]",0.906684982,0.906684982
"[[2], [1, 3, 4]]",0.905928531,0.905928531
"[[2], [1, 3, 4]]",0.905292139,0.905292139
"[[2], [1, 3, 4]]",0.904753826,0.904753826
"[[2], [1, 3, 4]]",0.904485467,0.904485467
"[[2], [1, 3, 4]]",0.904295494,0.904295494
